CNTRY_NAME,Country Code,Methane,CO2,NO2
Afghanistan,AFG,13763.166,10755.311,3423.68712
Albania,ALB,2644.2174,4910.113,1146.044766
Algeria,DZA,48527.01,129987.816,6382.0227
Angola,AGO,18974.448,33399.036,3641.26434
Antigua and Barbuda,ATG,43.273398,524.381,25.8613656
Argentina,ARG,88476.432,192356.152,53101.3632
Armenia,ARM,3425.678014,5694.851,1022.809422
Aruba,ABW,23.195514,1349.456,6.48877182
Australia,AUS,125588.1936,388126.281,54247.47571
Austria,AUT,8006.813544,62272.994,3789.944637
Azerbaijan,AZE,19955.36354,35555.232,2672.568238
Bahamas,BHS,226.62462,1969.179,130.927353
Bahrain,BHR,3378.5256,26673.758,131.2571496
Bangladesh,BGD,105141.6,67505.803,26682.82158
Barbados,BRB,109.38786,1470.467,58.678815
Belarus,BLR,16619.66131,63222.747,13905.15018
Belgium,BEL,9243.348927,95107.312,8502.953829
Belize,BLZ,228.49122,476.71,200.2156266
Benin,BEN,6982.5426,5471.164,4866.60258
Bermuda,BMU,30.959958,476.71,20.85800652
Bhutan,BTN,1769.6796,817.741,555.02586
Bolivia,BOL,23231.418,18793.375,9732.60438
Bosnia and Herzegovina,BIH,3140.172,22258.69,1123.740018
Botswana,BWA,4448.169,4231.718,2228.56179
Brazil,BRA,477076.7946,470028.726,214529.1221
British Virgin Islands,VGB,19.478838,176.016,7.59502914
Brunei Darussalam,BRN,4539.3672,9666.212,342.371874
Bulgaria,BGR,11793.66449,44708.064,4645.576644
Burkina Faso,BFA,14957.178,2629.239,7366.47978
Burundi,BDI,2718.861,282.359,789.484998
Cabo Verde,CPV,151.48632,506.046,81.4856886
Cambodia,KHM,35914.914,5456.496,16685.36808
Cameroon,CMR,18516.366,6127.557,13900.27848
Canada,CAN,106846.7743,517457.704,33413.52724
Caribbean small states,CSS,19737.12719,62863.381,3864.983207
Cayman Islands,CYM,28.722792,535.382,13.86698262
Central African Republic,CAF,85676.838,293.36,100651.5192
Chad,TCD,18363.876,612.389,14862.85452
Chile,CHL,18380.502,80974.694,8949.18726
China,CHN,1752290.14,10028573.94,587166.3655
Colombia,COL,67978.92,79951.601,25642.14414
Comoros,COM,283.79562,143.013,59.4120828
Congo,COG,7156.1874,2970.27,2957.35536
Congo Dem. Rep.,COD,75336.078,2401.885,67964.6604
Costa Rica,CRI,2314.5126,7766.706,1565.733864
Cote d'Ivoire,CIV,16265.634,9295.845,10034.03784
Croatia,HRV,4708.392205,17993.969,2854.357159
Cuba,CUB,8559.9216,36156.62,5912.02302
Cyprus,CYP,642.4094232,6919.629,314.9241179
Czech Republic,CZE,11901.93351,101029.517,7315.461229
Denmark,DNK,7602.607924,36427.978,5340.426051
Djibouti,DJI,634.0422,517.047,256.955187
Dominica,DMA,40.616094,135.679,21.24323298
Dominican Republic,DOM,6860.9586,22123.011,2190.405936
Ecuador,ECU,15786.336,38140.467,5434.62426
Egypt,EGY,51976.752,217068.065,25110.16926
El Salvador,SLV,3032.1234,6662.939,1413.768144
Equatorial Guinea,GNQ,2959.4892,5115.465,36.8822004
Eritrea,ERI,2893.74,660.06,1259.257014
Estonia,EST,2234.878225,17623.602,951.0109856
Eswatini,SWZ,1377.0204,1206.443,569.08095
Ethiopia,ETH,64481.034,8562.445,39853.5318
European Union,EUU,512009.3873,3494155.955,265878.7264
Faroe Islands,FRO,38.69982,590.387,6.7274712
Fiji,FJI,714.6069,1059.763,343.845366
Finland,FIN,8551.563226,49134.133,5547.306889
France,FRA,81178.5035,333227.624,36865.68363
French Polynesia,PYF,99.056484,814.074,37.411203
Gabon,GAB,3893.9316,5104.464,837.847788
Gambia,GMB,1039.278,454.708,499.81734
Georgia,GEO,5019.192092,8441.434,2352.373867
Germany,DEU,55720.81848,739861.254,43410.63975
Ghana,GHA,21077.79,11877.413,17593.39962
