Jamaica,"[1, 0.1, 0.1]"
Chad,"[1, 0.1, 0.1]"
Suriname,"[1, 0.1, 0.1]"
Guinea,"[1, 0.1, 0.1]"
South Asia,"[1, 0.1, 0.1]"
Australia,"[1, 0.1, 0.1]"
Comoros,"[1, 0.1, 0.1]"
Azerbaijan,"[1, 0.1, 0.1]"
Norway,"[1, 0.1, 0.1]"
European Union,"[1, 0.1, 0.1]"
Belize,"[1, 0.1, 0.1]"
Albania,"[1, 0.1, 0.1]"
Micronesia,"[1, 0.1, 0.1]"
Bulgaria,"[1, 0.1, 0.1]"
Netherlands,"[1, 0.1, 0.1]"
Hong Kong SAR China,"[1, 0.1, 0.1]"
Aruba,"[1, 0.1, 0.1]"
Grenada,"[1, 0.1, 0.1]"
Niger,"[1, 0.1, 0.1]"
China,"[0.6, 0, 0.1]"
Tonga,"[1, 0.1, 0.1]"
Trinidad and Tobago,"[1, 0.1, 0.1]"
Mongolia,"[1, 0.1, 0.1]"
Qatar,"[1, 0.1, 0.1]"
Czech Republic,"[1, 0.1, 0.1]"
Malaysia,"[1, 0.1, 0.1]"
Sri Lanka,"[1, 0.1, 0.1]"
Mauritius,"[1, 0.1, 0.1]"
Guatemala,"[1, 0.1, 0.1]"
Ireland,"[1, 0.1, 0.1]"
Vanuatu,"[1, 0.3, 0]"
Germany,"[1, 0.3, 0]"
Tunisia,"[1, 0.3, 0]"
Cambodia,"[1, 0.3, 0]"
Cuba,"[1, 0.3, 0]"
New Zealand,"[1, 0.3, 0]"
Bosnia and Herzegovina,"[1, 0.3, 0]"
Bermuda,"[1, 0.3, 0]"
Thailand,"[1, 0.3, 0]"
Uruguay,"[1, 0.3, 0]"
Slovak Republic,"[1, 0.3, 0]"
United States,"[0.8, 0, 0]"
Iran Islamic Rep.,"[1, 0.3, 0]"
Caribbean small states,"[1, 0.3, 0]"
Togo,"[1, 0.3, 0]"
Greece,"[1, 0.3, 0]"
Cabo Verde,"[1, 0.3, 0]"
Malawi,"[1, 0.3, 0]"
Italy,"[1, 0.3, 0]"
Somalia,"[1, 0.3, 0]"
Senegal,"[1, 0.3, 0]"
Bolivia,"[1, 0.3, 0]"
Lebanon,"[1, 0.3, 0]"
Bahrain,"[1, 0.3, 0]"
Lithuania,"[1, 0.3, 0]"
Iraq,"[1, 0.3, 0]"
Mauritania,"[1, 0.3, 0]"
Belgium,"[1, 0.3, 0]"
Luxembourg,"[1, 0.3, 0]"
Ecuador,"[1, 0.3, 0]"
Peru,"[1, 0.3, 0]"
Barbados,"[1, 0.3, 0]"
Turkey,"[1, 0.3, 0]"
Egypt,"[1, 0.3, 0]"
Gabon,"[1, 0.3, 0]"
United Kingdom,"[1, 0.3, 0]"
Argentina,"[1, 0.3, 0]"
St. Lucia,"[1, 0.3, 0]"
Russia,"[1, 0.1, 0.1]"
Portugal,"[1, 0.3, 0]"
Korea Dem. People’s Rep.,"[1, 0.3, 0]"
Iceland,"[1, 0.3, 0]"
Slovenia,"[1, 0.3, 0]"
Bangladesh,"[1, 0.3, 0]"
Colombia,"[1, 0.3, 0]"
Angola,"[1, 0.3, 0]"
South Africa,"[1, 0.3, 0]"
Philippines,"[1, 0.3, 0]"
Nigeria,"[1, 0.3, 0]"
Eritrea,"[1, 0.3, 0]"
Sierra Leone,"[1, 0.3, 0]"
Turkmenistan,"[1, 0.3, 0]"
Brunei Darussalam,"[1, 0.3, 0]"
Papua New Guinea,"[1, 0.3, 0]"
Congo Dem. Rep.,"[1, 0.3, 0]"
Uzbekistan,"[1, 0.3, 0]"
Japan,"[1, 0.1, 0.1]"
Marshall Islands,"[1, 0.3, 0]"
Moldova,"[1, 0.3, 0]"
Syrian Arab Republic,"[1, 0.3, 0]"
Canada,"[1, 0.3, 0]"
Romania,"[1, 0.3, 0]"
Libya,"[1, 0.3, 0]"
Antigua and Barbuda,"[1, 0.3, 0]"
Singapore,"[1, 0.3, 0]"
Samoa,"[1, 0.3, 0]"
Estonia,"[1, 0.5, 0.1]"
United Arab Emirates,"[1, 0.3, 0]"
El Salvador,"[1, 0.5, 0.1]"
Oman,"[1, 0.5, 0.1]"
